date,category,product,amount
2023-12-05,온라인 쇼핑,아이패드,120
2023-12-02,일반생활비,인터넷 비용,80
2023-11-29,식사,삼겹살,85
2023-11-22,식료품,채소,60
2023-11-15,여행,비행기표,350
2023-11-12,일반생활비,전기세,75
2023-11-08,온라인 쇼핑,과일,45
2023-11-05,유흥,영화티켓,30
2023-10-20,식사,스테이크,20
2023-10-15,여행,호텔비,200
2023-10-10,식료품,쌀,50
2023-10-06,일반생활비,수도세,40
2023-09-25,온라인 쇼핑,아이패드,150
2023-09-15,여행,택시비,25
2023-09-22,식사,대게,90
2023-09-10,일반생활비,전기세,100
2023-09-05,식료품,밑반찬,80
2023-08-18,일반생활비,가스비,60
2023-08-12,유흥,넷플릭스,15
2023-08-06,온라인 쇼핑,맥북,300
2023-07-30,여행,기차표,40
2023-07-10,식사,햄버거,25
2023-07-03,일반생활비,수도세,50
